Data,Novos Casos,Total de Casos,Novos Óbitos,Total de Óbitos,Novos Recuperados,Total de Recuperados
2020-08-21,24,2068,1,94,62,797
2020-08-22,66,2134,0,94,10,807
2020-08-23,37,2171,2,96,4,811
2020-08-24,51,2222,4,100,59,870
2020-08-25,61,2283,2,102,34,904
2020-08-26,49,2332,1,103,35,939
2020-08-27,83,2415,2,105,29,968
2020-08-28,56,2471,1,106,53,1021
2020-08-29,80,2551,1,107,13,1034
2020-08-30,73,2624,0,107,22,1056
2020-08-31,30,2654,1,108,8,1064
2020-09-01,75,2729,1,109,13,1077
2020-09-02,48,2777,3,112,31,1108
2020-09-03,28,2805,1,113,29,1137
2020-09-04,71,2876,2,115,23,1160
2020-09-05,59,2935,2,117,25,1185
2020-09-06,30,2965,0,117,6,1191
2020-09-07,16,2981,3,120,17,1208
2020-09-08,52,3033,4,124,0,1208
2020-09-09,59,3092,2,126,30,1238
2020-09-10,125,3217,4,130,32,1270
2020-09-11,62,3279,1,131,11,1281
2020-09-12,56,3335,1,132,1,1282
2020-09-13,53,3388,2,134,12,1294
2020-09-14,51,3439,2,136,23,1317
2020-09-15,130,3569,3,139,8,1325
2020-09-16,106,3675,4,143,69,1394
2020-09-17,114,3789,1,144,4,1398
2020-09-18,59,3848,3,147,38,1436
2020-09-19,53,3901,0,147,2,1438
2020-09-20,90,3991,5,152,0,1438
2020-09-21,126,4117,2,154,4,1442
2020-09-22,119,4236,1,155,13,1455
2020-09-23,127,4363,4,159,11,1466
2020-09-24,112,4475,3,162,30,1496
2020-09-25,115,4590,5,167,51,1547
2020-09-26,82,4672,4,171,85,1632
2020-09-27,46,4718,3,174,68,1700
2020-09-28,79,4797,2,176,106,1806
2020-09-29,108,4905,3,179,20,1826
2020-09-30,67,4972,4,183,108,1934
2020-10-01,142,5114,2,185,141,2075
2020-10-02,97,5211,4,189,133,2208
2020-10-03,159,5370,3,192,220,2428
2020-10-04,32,5402,3,195,142,2570
2020-10-05,128,5530,4,199,14,2584
2020-10-06,195,5725,2,201,7,2591
2020-10-07,138,5863,5,206,17,2608
2020-10-08,95,5958,2,208,20,2628
2020-10-09,73,6031,4,212,50,2678
2020-10-10,215,6246,6,218,31,2709
2020-10-11,120,6366,0,218,27,2736
2020-10-12,122,6488,1,219,1,2737
2020-10-13,192,6680,3,222,17,2754
2020-10-14,166,6846,5,227,40,2794
2020-10-15,250,7096,1,228,127,2921
2020-10-16,126,7222,6,234,84,3005
2020-10-17,240,7462,7,241,10,3015
2020-10-18,160,7622,6,247,8,3023
2020-10-19,207,7829,1,248,1,3024
2020-10-20,220,8049,3,251,6,3030
2020-10-21,289,8338,4,255,3,3033
2020-10-22,244,8582,5,260,265,3298
2020-10-23,247,8829,5,265,79,3377
2020-10-24,197,9026,2,267,77,3454
2020-10-25,355,9381,1,268,47,3501
2020-10-26,263,9644,2,270,22,3523
2020-10-27,227,9871,1,271,117,3640
2020-10-28,203,10074,4,275,46,3686
2020-10-29,195,10269,0,275,43,3729
2020-10-30,289,10558,4,279,371,4100
2020-10-31,247,10805,5,284,416,4516
2020-11-01,230,11035,2,286,397,4913
2020-11-02,193,11228,3,289,252,5165
2020-11-03,349,11577,2,291,58,5223
2020-11-04,236,11813,5,296,36,5259
2020-11-05,289,12102,3,299,84,5343
2020-11-06,121,12223,1,300,276,5619
2020-11-07,112,12335,3,303,21,5640
2020-11-08,98,12433,4,307,252,5892
2020-11-09,247,12680,1,308,28,5920
2020-11-10,136,12816,0,308,109,6029
2020-11-11,137,12953,4,312,89,6118
2020-11-12,104,13057,3,315,125,6243
2020-11-13,171,13228,2,317,76,6319
2020-11-14,146,13374,5,322,19,6338
2020-11-15,77,13451,0,322,102,6440
2020-11-16,164,13615,2,324,76,6516
2020-11-17,203,13818,4,328,59,6575
2020-11-18,104,13922,4,332,41,6616
2020-11-19,212,14134,1,333,439,7055
2020-11-20,133,14267,1,334,55,7110
2020-11-21,146,14413,2,336,156,7266
2020-11-22,80,14493,1,337,73,7339
2020-11-23,141,14634,0,337,5,7344
2020-11-24,108,14742,1,338,93,7437
2020-11-25,79,14821,2,340,73,7510
2020-11-26,99,14920,1,341,100,7610
2020-11-27,88,15008,1,342,80,7690
2020-11-28,79,15087,3,345,66,7756
2020-11-29,16,15103,1,346,0,7756
2020-11-30,36,15139,2,348,88,7844
2020-12-01,112,15251,2,350,81,7925
2020-12-02,68,15319,1,351,207,8132
2020-12-03,42,15361,1,352,105,8237
2020-12-04,132,15493,1,353,55,8292
2020-12-05,43,15536,1,354,36,8328
2020-12-06,55,15591,0,354,3,8331
2020-12-07,57,15648,0,354,15,8346
2020-12-08,81,15729,1,355,117,8463
2020-12-09,75,15804,3,358,109,8572
2020-12-10,121,15925,4,362,100,8672
2020-12-11,136,16061,3,365,119,8791
2020-12-12,100,16161,1,366,43,8834
2020-12-13,27,16188,5,371,57,8891
2020-12-14,89,16277,1,372,26,8917
2020-12-15,85,16362,0,372,66,8983
2020-12-16,45,16407,7,379,204,9187
2020-12-17,77,16484,3,382,72,9259
2020-12-18,78,16562,2,384,79,9338
2020-12-19,64,16626,2,386,173,9511
2020-12-20,18,16644,1,387,74,9585
2020-12-21,42,16686,3,390,103,9688
2020-12-22,116,16802,3,393,34,9722
2020-12-23,129,16931,1,394,78,9800
2020-12-24,98,17029,1,395,111,9911
2020-12-25,70,17099,1,396,3,9914
2020-12-26,50,17149,3,399,55,9969
2020-12-27,91,17240,0,399,278,10247
2020-12-28,56,17296,4,403,67,10314
2020-12-29,75,17371,0,403,306,10620
2020-12-30,62,17433,2,405,232,10852
2020-12-31,120,17553,0,405,185,11037
2021-01-01,15,17568,0,405,102,11139
2021-01-02,40,17608,2,407,43,11182
2021-01-03,34,17642,1,408,34,11216
2021-01-04,42,17684,0,408,43,11259
2021-01-05,72,17756,2,410,110,11369
2021-01-06,108,17864,3,413,101,11470
2021-01-07,110,17974,0,413,478,11948
2021-01-08,92,18066,2,415,757,12705
2021-01-09,90,18156,1,416,493,13198
2021-01-10,37,18193,0,416,667,13865
2021-01-11,61,18254,4,420,993,14858
2021-01-12,89,18343,2,422,687,15545
2021-01-13,82,18425,2,424,119,15664
2021-01-14,188,18613,1,425,377,16041
2021-01-15,66,18679,3,428,112,16153
2021-01-16,86,18765,3,431,105,16258
2021-01-17,110,18875,5,436,122,16380
2021-01-18,51,18926,3,439,330,16710
2021-01-19,85,19011,3,442,145,16855
2021-01-20,82,19093,2,444,99,16954
2021-01-21,84,19177,4,448,225,17179
2021-01-22,92,19269,4,452,47,17226
2021-01-23,98,19367,5,457,26,17252
2021-01-24,32,19399,2,459,17,17269
2021-01-25,77,19476,2,461,61,17330
2021-01-26,77,19553,1,462,61,17391
2021-01-27,27,19580,0,462,214,17605
2021-01-28,92,19672,2,464,90,17695
2021-01-29,51,19723,0,464,226,17921
2021-01-30,59,19782,0,464,97,18018
2021-01-31,14,19796,2,466,20,18038
2021-02-01,33,19829,0,466,145,18183
2021-02-02,71,19900,2,468,52,18235
2021-02-03,37,19937,3,471,103,18338
2021-02-04,59,19996,3,474,46,18384
2021-02-05,34,20030,1,475,50,18434
2021-02-06,32,20062,1,476,64,18498
2021-02-07,24,20086,0,476,45,18543
2021-02-08,26,20112,0,476,56,18599
2021-02-09,51,20163,3,479,27,18626
2021-02-10,47,20210,9,488,64,18690
2021-02-11,51,20261,0,488,23,18713
2021-02-12,33,20294,3,491,76,18789
2021-02-13,35,20329,1,492,4,18793
2021-02-14,37,20366,1,493,5,18798
2021-02-15,15,20381,1,494,89,18887
2021-02-16,8,20389,1,495,45,18932
2021-02-17,11,20400,2,497,22,18954
2021-02-18,52,20452,2,499,21,18975
2021-02-19,26,20478,0,499,19,18994
2021-02-20,21,20499,0,499,14,19008
2021-02-21,20,20519,1,500,8,19016
2021-02-22,29,20548,0,500,177,19193
2021-02-23,36,20584,1,501,17,19210
2021-02-24,56,20640,1,502,14,19224
2021-02-25,55,20695,1,503,17,19241
2021-02-26,64,20759,2,505,69,19310
2021-02-27,23,20782,2,507,8,19318
2021-02-28,25,20807,2,509,7,19325
2021-03-01,47,20854,0,509,78,19403
2021-03-02,28,20882,2,511,10,19413
2021-03-03,41,20923,0,511,99,19512
2021-03-04,58,20981,1,512,44,19556
2021-03-05,45,21026,0,512,71,19627
2021-03-06,29,21055,1,513,16,19643
2021-03-07,31,21086,2,515,7,19650
2021-03-08,22,21108,1,516,10,19660
2021-03-09,6,21114,1,517,20,19680
2021-03-10,47,21161,0,517,84,19764
2021-03-11,44,21205,1,518,60,19824
2021-03-12,60,21265,2,520,8,19832
2021-03-13,58,21323,1,521,13,19845
2021-03-14,57,21380,1,522,2,19847
2021-03-15,27,21407,0,522,98,19945
2021-03-16,39,21446,1,523,23,19968
2021-03-17,43,21489,0,523,57,20025
2021-03-18,69,21558,0,523,4,20029
2021-03-19,84,21642,3,526,33,20062
2021-03-20,54,21696,1,527,3,20065
2021-03-21,37,21733,1,528,5,20070
2021-03-22,24,21757,3,531,17,20087
2021-03-23,17,21774,1,532,9,20096
2021-03-24,62,21836,1,533,73,20169
2021-03-25,78,21914,0,533,18,20187
2021-03-26,51,21965,0,533,60,20247
2021-03-27,66,22031,1,534,19,20266
2021-03-28,32,22063,0,534,20,20286
2021-03-29,69,22132,1,535,91,20377
2021-03-30,50,22182,2,537,66,20443
2021-03-31,129,22311,1,538,47,20490
2021-04-01,88,22399,1,539,14,20504
2021-04-02,68,22467,1,540,360,20864
2021-04-03,112,22579,2,542,4,20868
2021-04-04,52,22631,2,544,8,20876
2021-04-05,86,22717,1,545,573,21449
2021-04-06,168,22885,4,549,36,21485
2021-04-07,125,23010,0,549,56,21541
2021-04-08,98,23108,2,551,12,21553
2021-04-09,134,23242,0,551,32,21585
2021-04-10,89,23331,1,552,301,21886
2021-04-11,126,23457,3,555,168,22054
2021-04-12,95,23552,1,556,35,22089
2021-04-13,148,23700,0,556,22,22111
2021-04-14,144,23844,3,559,29,22140
2021-04-15,110,23954,0,559,31,22171
2021-04-16,171,24125,3,562,28,22199
2021-04-17,178,24303,1,563,373,22572
2021-04-18,89,24392,0,563,21,22593
2021-04-19,129,24521,2,565,3,22596
2021-04-20,143,24664,2,567,47,22643
2021-04-21,222,24886,5,572,0,22643
2021-04-22,168,25054,2,574,19,22662
2021-04-23,228,25282,2,576,188,22850
2021-04-24,223,25505,3,579,3,22853
2021-04-25,101,25606,4,583,196,23049
2021-04-26,117,25723,2,585,0,23049
2021-04-27,232,25955,4,589,53,23102
2021-04-28,226,26181,4,593,243,23345
2021-04-29,263,26444,3,596,22,23367
2021-04-30,221,26665,2,598,270,23637
2021-05-01,163,26828,4,602,37,23674
2021-05-02,178,27006,2,604,0,23674
2021-05-03,140,27146,1,605,227,23901
2021-05-04,151,27297,6,611,50,23951
2021-05-05,245,27542,9,620,302,24253
2021-05-06,392,27934,4,624,11,24264
2021-05-07,280,28214,6,630,195,24459
2021-05-08,276,28490,2,632,15,24474
2021-05-09,263,28753,3,635,4,24478
2021-05-10,135,28888,3,638,55,24533
2021-05-11,271,29159,3,641,373,24906
2021-05-12,259,29418,6,647,42,24948
2021-05-13,290,29708,4,651,442,25390
2021-05-14,335,30043,2,653,21,25411
2021-05-15,324,30367,4,657,53,25464
2021-05-16,283,30650,4,661,12,25476
2021-05-17,154,30804,18,679,280,25756
2021-05-18,258,31062,8,687,18,25774
